序号,公开(公告)号,标题,申请日,公开(公告)日,申请人,发明(设计)人,IPC
25.  发明公开  无效,CN107836982A,CN201711062353.4 -  智能升降锅及菜品与菜汤的分离方法,2017-11-02,2018-03-27,海底捞控股有限公司,"胡杰  , 谢雄","[A47J27/00, A47J36/20, A47J36/00]"
26.  实用新型  有权,CN210408321U,CN201821727711.9 -  一种火锅盆及其清洗装置,2018-10-24,2020-04-28,"海底捞控股有限公司  , 湖南洗唰唰智能洗净设备有限责任公司","陈瑜  , 王盛  , 王以春","[A47L15/24, A47L15/37, A47J27/12, A47J27/00]"
27.  实用新型  有权,CN210028815U,CN201920687288.2 -  置锅架,2019-05-14,2020-02-07,"北京和利时智能技术有限公司  , 海底捞控股有限公司","邢松松  , 王以春  , 魏晓磊  , 李清华  , 魏君",[B65G1/04]
28.  实用新型  有权,CN210028814U,CN201920683498.4 -  储存锅具装置,2019-05-14,2020-02-07,"北京和利时智能技术有限公司  , 海底捞控股有限公司","魏晓磊  , 王以春  , 刑松松  , 李清华  , 魏君","[B65G1/04, B65G1/14, B65G1/20]"
29.  实用新型  有权,CN209153544U,CN201821118052.9 -  一种取盘机及洗碗机,2018-07-13,2019-07-26,"博众精工科技股份有限公司  , 海底捞控股有限公司","母国栋  , 李刚  , 胡通  , 朱可  , 黄治国","[A47L15/42, A47L15/24]"
30.  实用新型  有权,CN209153509U,CN201821330272.8 -  清洗装置及清洗设备,2018-08-17,2019-07-26,"北京和利时智能技术有限公司  , 海底捞控股有限公司","邢松松  , 王以春  , 魏君  , 李清华","[A47L15/00, A47L15/42, A47L15/44]"
31.  实用新型  有权,CN208784430U,CN201721283530.7 -  一种水壶,2017-09-30,2019-04-26,海底捞控股有限公司,"张昆  , 张笑天  , 冯敏","[A47J27/21, A47J36/00]"
32.  实用新型  有权,CN208731525U,CN201821094258.2 -  一种托盘,2018-07-11,2019-04-12,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实","[B65D25/04, B65D1/34]"
33.  实用新型  有权,CN208683647U,CN201821098328.1 -  一种可自动输送酒水的酒水存储装置,2018-07-11,2019-04-02,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实","[B65G1/04, B65G47/90]"
34.  实用新型  有权,CN208645448U,CN201821192381.8 -  一种立式切片机,2018-07-25,2019-03-26,"海底捞控股有限公司  , 滨州鸿瑞祥工贸有限公司","刘云江  , 王挺  , 阮向朋","[B26D1/09, B26D5/18, B26D7/02, B26D7/26, B26D7/06, B26D7/30, B26D5/00, B26D7/00]"
35.  实用新型  有权,CN208547994U,CN201821094271.8 -  一种自动酒水库的操作面板,2018-07-11,2019-02-26,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实","[G07F9/02, G07F9/10, G07F11/00]"
36.  实用新型  失效,CN205033274U,CN201520663394.9 -  一种切片装置,2015-08-28,2016-02-17,海底捞控股有限公司,"江吉涛  , 杨磐","[B26D3/28, B26D1/09, B26D7/26]"
37.  实用新型  失效,CN204454501U,CN201520095188.2 -  红酒开瓶器,2015-02-10,2015-07-08,海底捞控股有限公司,"葛昊泉  , 史晓明  , 江吉涛  , 砚君  , 吴小双  , 田萌  , 杨磐","[B67B7/04, B67B7/44]"
38.  实用新型  有权,CN211469615U,CN201922068709.6 -  存锅系统,2019-11-26,2020-09-11,"北京和利时智能技术有限公司  , 海底捞控股有限公司","魏晓磊  , 王以春  , 魏君  , 李清华","[B65G1/04, B65G1/137]"
39.  实用新型  有权,CN210028813U,CN201920683035.8 -  存锅设备,2019-05-14,2020-02-07,"北京和利时智能技术有限公司  , 海底捞控股有限公司","王帅  , 王以春  , 魏晓磊  , 李清华  , 魏君","[B65G1/04, B65G1/127]"
40.  实用新型  有权,CN210012288U,CN201920687606.5 -  缓存输送装置,2019-05-14,2020-02-04,"海底捞控股有限公司  , 北京和利时智能技术有限公司","王帅  , 王以春  , 李清华  , 魏君",[B65G47/26]
41.  实用新型  有权,CN209238633U,CN201821793269.X -  一种容器侧壁清洗装置,2018-11-01,2019-08-13,"海底捞控股有限公司  , 湖南洗唰唰智能洗净设备有限责任公司","陈瑜  , 王盛  , 王以春",[B08B9/087]
42.  实用新型  有权,CN209152275U,CN201821336138.9 -  配锅机,2018-08-17,2019-07-26,"北京和利时智能技术有限公司  , 海底捞控股有限公司","邢松松  , 王以春  , 李鹏飞  , 肖增  , 魏晓磊  , 魏君  , 李清华","[A23L27/00, A23P30/00]"
43.  实用新型  有权,CN209083180U,CN201821098377.5 -  安全门,2018-07-11,2019-07-09,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实","[E06B5/00, E06B7/28, H01H3/16]"
44.  实用新型  有权,CN208958044U,CN201820981527.0 -  预处理除渣装置,2018-06-25,2019-06-11,"海底捞控股有限公司  , 湖南洗唰唰智能洗净设备有限责任公司","陈瑜  , 王盛  , 王以春","[A47L15/42, A47L15/24]"
45.  实用新型  有权,CN208732072U,CN201821099645.5 -  机械手执行装置,2018-07-11,2019-04-12,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实","[B65G47/90, B25J15/00]"
46.  实用新型  有权,CN208640365U,CN201721443098.3 -  智能升降锅,2017-11-02,2019-03-26,海底捞控股有限公司,"胡杰  , 谢雄","[A47J27/00, A47J36/20, A47J36/00]"
47.  实用新型  有权,CN208470703U,CN201821083089.2 -  储存装置及储存设备,2018-07-09,2019-02-05,"博众精工科技股份有限公司  , 海底捞控股有限公司","母国栋  , 李刚  , 胡通  , 朱可  , 黄治国",[B65G1/04]
48.  实用新型  有权,CN208365597U,CN201820977692.9 -  节能炉具及餐桌,2018-06-22,2019-01-11,海底捞控股有限公司,"胡杰  , 卢燕平","[F24C7/08, F24C15/10, F24C15/20, F24C3/12, A47B31/02]"
49.  实用新型  有权,CN208036321U,CN201820252458.X -  一种多功能推车,2018-02-12,2018-11-02,海底捞控股有限公司,"张昆  , 张笑天  , 冯敏","[B62B3/00, B62B5/00]"
